,PredictedValueExtensiveModel
1127,17591562.0
1128,6349638.0
1129,6385848.0
1131,10149730.0
1132,23144138.0
1133,21456452.0
1134,16932916.0
1135,11480500.0
1136,6282354.5
1137,8296016.5
1138,47960816.0
1139,9610711.0
1140,7322442.5
1145,14301457.0
1146,9863665.0
1147,5487684.5
1148,4543518.5
1150,12530413.0
1151,4436048.5
1152,8470590.0
1153,3804358.5
1155,9135343.0
1156,8372127.5
1157,18470008.0
1158,7264555.5
1160,6864218.0
1162,11861274.0
1163,3384032.2
1164,3456435.5
1165,15700232.0
1166,7621219.0
1167,2343629.5
1168,33342752.0
1173,6133041.0
1174,10744337.0
1175,11327540.0
1176,7599670.5
1177,9300938.0
1178,9560760.0
1179,5065738.5
1180,7266089.5
1181,11592736.0
1182,12994885.0
1183,10774346.0
1184,7823163.0
1185,5584195.0
1186,11172952.0
1187,7291980.0
1188,8246010.5
1189,7867601.0
1190,10053077.0
1191,12522914.0
1192,8325900.0
1197,7830044.5
1198,16338134.0
1199,1282036.1
1200,1731637.8
1201,12957791.0
1203,4732606.5
1204,1281814.4
1205,555388.44
1206,4586094.0
1207,5987084.0
1208,7348913.5
1209,2314837.2
1210,1777982.8
1211,4714105.0
1212,10880132.0
1213,2588871.8
1214,16152314.0
1215,13252409.0
1216,5154898.0
1217,11895465.0
1218,3137651.5
1219,2652662.5
1224,7838712.0
1225,4954439.5
1226,4843425.5
1227,2847411.0
1228,3140792.5
1229,4128873.0
1230,-1176524.1
1231,7093914.0
1232,-1154645.5
1234,5207295.5
1235,1737098.0
1236,3772179.2
1237,3088769.2
1238,2260401.8
1239,3421603.2
1240,4364044.5
1241,7177075.0
1242,14769929.0
1243,3717725.0
1244,3807568.5
1245,4346942.0
1246,10988912.0
1247,7076075.5
1248,3713937.0
1249,3242538.8
1250,3653841.2
1254,18295384.0
1255,3473988.8
1256,3616825.5
1257,7344706.0
1258,2276262.2
1259,1216011.0
1260,1214118.4
1261,7496758.5
1262,5226728.0
1263,5797696.5
1264,8104102.0
1265,3458691.0
1266,7684143.0
1267,8072592.0
1268,2704790.5
1269,3976099.2
1271,2483362.0
1273,5615057.0
1274,2737705.5
1275,2268507.5
1276,1810929.0
1277,955563.6
1282,5359034.5
1283,1777027.2
1284,5938614.0
1285,2971739.2
1286,5555596.5
1287,3863824.8
1288,3712993.0
1290,3545428.0
1291,1611743.2
1292,3058227.8
1294,-1525198.2
1295,3458239.0
1296,3039941.2
1297,3741660.2
1298,5165297.5
1300,5836285.0
1301,2825611.2
1302,3572825.2
1303,1956615.8
1304,2975225.0
1305,8284899.5
1306,10705892.0
1307,3017998.0
1308,2306043.8
1309,2500676.8
1313,6282307.0
1314,4180644.8
1315,7027489.0
1316,5122469.0
1318,7434331.5
1319,7678970.5
1320,1718916.6
1321,8286774.5
1322,3618171.2
1323,2328243.2
1324,3025623.0
1325,805551.3
1326,1677877.8
1328,2046040.0
1329,1941149.5
1330,3349070.8
1331,2634390.8
1332,4068977.8
1333,2920679.2
1334,2871790.8
1335,2748168.2
1336,2021843.5
1337,2328356.8
1338,1515752.1
1342,3200791.2
1343,4060988.8
1344,1381191.6
1345,1817436.1
1347,2406703.2
1348,2930044.5
1349,1377580.6
1350,2608142.5
1351,8463623.0
1352,7302894.0
1353,3313226.5
1354,7780434.5
1355,7505922.5
1357,7049559.5
1358,2050362.4
1359,3165615.8
1360,6979267.5
1361,2379488.2
1362,3827497.2
1363,5159969.5
1364,1476596.9
1365,2405437.0
1370,3192626.2
1371,2676814.2
1372,2291916.2
1373,2403132.0
1374,509536.94
1376,5975297.5
1377,1955633.5
1378,3465700.8
1379,12254467.0
1380,3091722.8
1381,3240019.0
1382,796930.9
1383,3354871.8
1384,713254.75
1385,1093596.0
1386,1785959.5
1387,6323441.5
1388,2638243.8
1389,3688619.5
1391,1875135.2
1393,3352117.8
1394,2592827.0
1395,1766987.4
1396,2691392.8
1397,2420907.2
1399,2005093.2
1400,3783068.8
1404,5478838.0
1405,3227928.8
1406,2885455.5
1407,5385771.0
1408,1709970.2
1409,3734635.0
1410,268091.62
1411,2211077.5
1412,-5365566.0
1414,6610478.5
1415,3779219.5
1416,1760304.2
1417,4708344.5
1418,2720946.5
1419,-462228.62
1420,3845990.2
1421,10080803.0
1422,4268176.0
1424,2244828.2
1425,3813090.2
1426,898813.9
1427,4958.9727
1428,1561186.2
1434,4570460.5
1435,2747573.2
1436,5460130.0
1437,3858722.5
1438,1786750.5
1439,2754324.2
1440,3247952.0
1441,3374131.8
1442,1469961.8
1443,2769426.0
1444,1515565.2
1446,3192294.8
1448,4379341.0
1449,2931856.2
1450,4170301.0
1451,2075950.9
1452,12021930.0
1453,7082540.0
1454,1660460.5
1459,2462448.5
1460,3078430.5
1461,2246704.0
1462,196105.97
1463,818847.75
1464,3832332.8
1465,555373.5
1467,2108454.0
1468,3964039.5
1469,3272142.8
1470,2150540.8
1471,6863613.5
1472,3149445.5
1474,8436882.0
1475,974762.8
1477,2264030.8
1478,1905105.0
1479,5310034.5
1480,758968.9
1481,3305703.0
1482,2169939.0
1483,2708853.5
1484,923798.94
1485,1256692.6
1486,1663497.6
1491,2533084.5
1492,2331763.5
1493,4181818.8
1494,1401224.4
1495,784900.56
1497,1816791.6
1498,-554033.56
1499,1899109.8
1500,1869505.9
1501,-3098260.5
1502,2384447.2
1503,1673340.2
1504,3472515.5
1505,3073747.8
1506,2724754.5
1507,3600865.0
1508,1245392.2
1509,2880466.5
1510,7224722.5
1511,5500306.0
1512,2029819.0
1513,2143224.0
1514,2014007.2
1519,1363203.6
1520,753069.2
1521,927234.9
1522,1491542.6
1524,841315.0
1525,2159266.2
1527,238355.86
1528,601130.06
1529,2109942.0
1530,-298475.4
1531,8370879.0
1532,3194583.2
1533,-437225.16
1534,-357974.06
1535,1419111.0
1536,7816.3613
1537,142950.98
1538,1599881.1
