,PredictedValueSimpleModel
6294,875139.25
6295,166299.39
6319,222264.73
6320,532455.9
6343,918414.9
6344,410204.22
6369,423615.84
6370,33082.414
6396,623413.7
6397,497295.1
6421,574500.5
6422,428482.47
6446,653773.9
6447,350882.9
6448,293834.66
6471,602490.1
6472,450904.4
6473,301945.4
6494,589143.75
6495,229662.89
6518,911220.0
6519,401473.75
6540,223394.45
6541,594466.5
6563,497295.1
6564,439035.6
6589,1403306.9
6590,687312.8
6612,934304.8
6613,480841.94
6638,15680640.0
6639,1389388.6
6640,1170812.2
6662,43756960.0
6663,1740952.0
6664,905589.06
6690,1354795.4
6691,870735.5
6692,540278.1
6723,3404596.5
6724,1112256.6
6725,1123635.5
6748,1145774.6
6749,487218.1
6778,3861972.0
6779,804787.94
6807,771868.6
6808,1110635.4
6809,611517.6
6832,318277.9
6833,387940.16
6834,305697.0
6835,101558.92
6864,819357.1
6865,444551.75
6866,349751.47
6893,377972.6
6894,183266.95
6895,524467.8
6921,758490.75
6922,470159.28
6923,-3311.3223
6953,117936.21
6954,802591.25
6955,1142514.0
6956,378477.4
6982,484999.84
6983,608045.25
6984,312953.56
7010,820943.0
7011,423126.97
7012,147013.22
7038,1911016.8
7039,243416.38
7040,308032.66
7065,980064.2
7066,241692.31
7067,492053.3
7091,379782.53
7092,111513.2
7115,326783.03
7116,348810.22
7117,361062.47
7144,11243.433
7145,461007.0
7175,467977.8
7176,581516.44
7177,38470.63
7178,-16234.503
7208,426984.1
7209,136133.61
7210,93504.305
7233,113439.72
7234,308878.06
7235,204153.14
7236,103912.13
7265,251712.08
7266,335135.47
7267,30478.658
7293,929456.0
7294,259110.23
7295,113259.32
7319,146682.38
7320,335135.47
7351,238427.17
7352,255795.61
7353,109221.625
7354,90495.14
7384,454208.25
7385,222818.98
7409,110621.83
7410,335135.47
7411,265858.75
7436,268813.53
7437,188723.14
7438,61234.848
7464,139785.61
7465,233754.22
7466,211161.44
7488,195619.9
7489,95978.484
7490,266007.03
7491,44773.57
7517,791983.3
7518,358224.78
7519,128128.05
7542,324587.97
7543,222962.25
7571,327737.3
7572,109696.12
7573,248049.14
7598,330583.53
7599,69891.25
7600,110621.83
7625,366341.97
7626,275413.44
7627,9653.465
7651,43750270.0
7652,4278055.0
7653,511962.1
7675,17223654.0
7676,16319195.0
7677,6605565.5
7678,2132574.2
7707,36361812.0
7708,5517333.5
7730,44931092.0
7731,8627584.0
7732,887441.25
7760,14626902.0
7761,1533571.5
7762,912539.1
7792,3996429.0
7793,2499282.5
7794,-12183.538
7795,656287.0
7817,18177570.0
7818,2567750.8
7819,1586394.0
7820,1187610.2
7846,7777074.5
7847,1089515.2
7868,8668982.0
7869,3313397.5
7870,725093.8
7895,27364498.0
7896,2232841.8
7897,2247138.0
7898,1163402.1
7918,17820042.0
7919,1762226.0
7920,628870.5
7946,15604227.0
7947,1673301.1
7948,304507.47
7976,30257338.0
7977,1097334.8
7978,683711.2
8001,24598528.0
8002,618372.7
8003,289559.94
8026,21727360.0
8027,4439405.5
8028,592563.5
8061,25887758.0
8062,4472975.0
8086,21335266.0
8087,2576991.0
8088,1034645.2
8110,3575143.5
8111,768992.2
8112,924208.1
8135,9730561.0
8136,4644061.5
8159,2734093.5
8160,2779222.5
8161,626924.56
8186,5438634.5
8187,997958.5
8188,282891.53
8212,1698014.2
8213,1449392.4
8214,301946.16
8242,711143.25
8243,615741.25
8269,1583254.2
8270,900527.1
8271,200831.95
8294,4401400.0
8295,685194.94
8296,244574.84
8319,2720106.5
8320,826998.06
8321,397996.7
8346,718283.0
8347,279033.53
8370,2475398.0
8371,593346.4
8396,535546.4
8397,730411.06
8398,455202.16
8423,4833810.5
8424,260970.81
8447,1474263.6
8448,906841.9
8449,307783.94
8450,179765.02
8471,1710534.5
8472,438903.44
8496,694608.56
8497,346484.53
8522,455467.5
8523,314943.5
8524,404747.56
8544,639326.25
8545,475744.44
8572,687418.8
8573,446685.4
8574,500902.97
8575,528861.56
8597,565899.5
8598,326225.4
8622,900460.06
8623,430337.62
8624,302558.12
8649,685194.94
8650,372929.03
8676,400245.12
8677,224070.38
8678,623075.75
8706,798691.9
8728,2344025.0
8729,604431.3
8730,653168.5
8731,272120.47
8761,1422665.9
8762,437244.38
8763,216378.78
8788,568888.8
8789,89075.305
8816,2202312.5
8817,329777.38
8841,514322.12
8842,461893.38
8843,103509.62
8864,299687.9
8865,155665.19
8887,891692.7
8888,285044.7
8889,466062.7
8890,350553.2
8916,256704.67
8917,379027.56
8918,151612.5
8946,119348.96
8947,299687.9
8972,171518.94
8973,426578.25
8974,233199.56
9001,128829.625
9002,73128.49
9025,420648.84
9026,409117.03
9027,70495.14
9052,533311.0
9053,2198041.2
9054,213767.22
9075,291904.4
9076,433893.16
9077,-101741.8
9103,406426.75
9104,232615.28
9105,78328.24
9129,820332.9
9130,333091.97
9154,117306.266
9155,238125.22
9179,520583.38
9180,132973.83
9204,384330.0
9205,410464.94
9206,169960.11
9207,85225.01
9234,532493.94
9235,115879.95
9258,503924.62
9259,344474.72
9260,82362.76
9289,481901.06
9290,366868.78
9291,85225.01
9315,540910.8
9316,342498.34
9317,70930.086
9340,362662.0
9341,314886.22
9342,78328.24
9363,213767.22
9364,379027.56
9388,444709.94
9389,416013.78
9411,91021.945
9412,339988.72
9413,70930.086
9442,10270638.0
9443,593642.06
9444,297857.34
9467,3142421.2
9468,2799897.8
9469,911539.94
9470,546283.8
9491,12132501.0
