,PredictedValueXGB
1008,36170430.0
1009,26781524.0
1010,15758550.0
1011,16716936.0
1012,56915796.0
1013,55197570.0
1014,24411572.0
1015,68881450.0
1016,8270653.5
1017,10711236.0
1018,57036344.0
1019,28709204.0
1020,48207200.0
1021,48605816.0
1022,23194644.0
1023,17910512.0
1024,19477570.0
1029,17136746.0
1030,19900504.0
1031,7293940.5
1032,7032251.5
1033,536894.44
1034,17727580.0
1035,6205802.5
1036,6985591.0
1037,7405089.5
1038,10668087.0
1039,11339090.0
1040,3598797.0
1041,5281769.0
1042,7046217.0
1043,17120698.0
1044,589241.5
1045,70771976.0
1046,10533286.0
1047,24700588.0
1048,14652401.0
1049,9381282.0
1050,1096554.1
1051,17301986.0
1052,10608375.0
1053,14756524.0
1054,5578378.5
1055,11132503.0
1056,19258260.0
1057,5573269.5
1064,32657786.0
1065,15057565.0
1066,10281489.0
1067,12336061.0
1068,15475543.0
1069,6315620.5
1070,9349321.0
1071,11884576.0
1072,14552759.0
1073,14344098.0
1074,12376009.0
1075,13846287.0
1076,6918339.5
1077,23428236.0
1078,20620672.0
1079,10635685.0
1080,9474600.0
1081,49769240.0
1082,19697762.0
1083,18944400.0
1084,11223988.0
1089,10168591.0
1090,12647661.0
1091,16057230.0
1092,8397595.0
1093,8404563.0
1094,4937211.0
1095,12437160.0
1096,6660671.5
1097,3968736.5
1098,10946994.0
1099,5177384.5
1100,5310509.5
1101,12785957.0
1102,7482316.0
1103,8080708.0
1104,38647796.0
1105,16036094.0
1106,33202498.0
1107,12472054.0
1108,7505011.0
1109,11739012.0
1110,10032213.0
1111,10530424.0
1116,7423055.0
1117,2859985.0
1118,3453929.8
1119,2438328.8
1120,2798075.0
1121,5048333.5
1122,2738460.2
1123,2343489.5
1124,2528076.5
1125,2872857.0
1126,2875530.2
1127,7211383.0
1128,3020077.8
1129,2722915.0
1130,2619348.5
1131,4562872.0
1132,15382687.0
1133,5011963.0
1134,15012774.0
1135,6277518.0
1136,2917425.2
1137,4744081.5
1138,36997480.0
1139,5859266.5
1140,4405623.0
1145,9275669.0
1146,7250047.0
1147,2327173.2
1148,1812596.0
1149,2612733.5
1150,7817387.5
1151,3211332.5
1152,2724763.2
1153,4103056.5
1155,5659310.5
1156,4155819.2
1157,7097803.0
1158,6751201.5
1159,3570774.5
1160,4882365.5
1161,4457771.5
1162,7922518.5
1163,1732500.0
1164,8947421.0
1165,10440502.0
1166,5011054.0
1167,3905071.5
1168,28494302.0
1173,1892631.5
1174,2664239.8
1175,3994934.2
1176,1832998.4
1177,3957662.8
1178,5313822.5
1179,2391793.5
1180,2559780.5
1181,7726731.0
1182,7473927.0
1183,6018219.0
1184,4872792.0
1185,3156241.0
1186,10110727.0
1187,4479552.0
1188,3562713.8
1189,5427335.5
1190,7619464.5
1191,5411974.5
1192,6043361.0
1193,3817831.5
1197,3898566.0
1198,11753161.0
1199,1587303.6
1200,2107394.0
1201,7205245.0
1202,1655435.9
1203,1889284.8
1204,1708131.5
1205,1607833.0
1206,3229237.8
1207,1574084.4
1208,5386632.5
1209,2609001.5
1210,2527472.2
1211,4035683.5
1212,6412618.5
1213,3396786.8
1214,10331247.0
1215,13166381.0
1216,4002479.0
1217,7963762.0
1218,1690988.8
1219,5729658.0
1224,6608548.0
1225,2736238.5
1226,4836934.0
1227,1824345.0
1228,3106183.2
1229,3147208.2
1230,2913133.5
1231,2281058.2
1232,3243279.0
1233,2860428.8
1234,3239240.0
1235,5594288.5
1236,1768540.2
1237,1660817.1
1238,4153021.0
1239,1660701.9
1240,4256379.5
1241,4129867.0
1242,7714440.5
1243,3040283.0
1244,3684702.8
1245,2458288.2
1246,8864808.0
1247,10732728.0
1248,4039304.0
1249,5645491.5
1250,3149411.0
1254,9298235.0
1255,1697827.2
1256,2236901.0
1257,4284626.5
1258,3741658.2
1259,3369209.0
1260,1574261.4
1261,5044811.0
1262,4714753.5
1263,1655435.9
1264,6782850.0
1265,2386004.2
1266,5320105.5
1267,5157228.0
1268,2194732.5
1269,4740844.0
1270,1660701.9
1271,2301276.2
1272,1690988.8
1273,3807211.0
1274,4340088.0
1275,1903178.9
1276,1488670.8
1277,1488670.8
1282,5831800.0
1283,1768540.2
1284,2100775.0
1285,1915717.2
1286,1924143.0
1287,2308793.8
1288,6633095.5
1289,1740036.1
1290,4022836.8
1291,2067733.1
1292,2453912.5
1293,1546877.6
1294,1789077.2
1295,5506348.5
1296,1620275.9
1297,2112660.0
1298,7539369.5
1300,7317862.5
1301,2955261.2
1302,3874901.5
1303,2318156.2
1304,1916240.9
1305,6913728.5
1306,9002135.0
1307,2555970.8
1308,1748644.4
1309,1847191.5
1313,4019734.0
1314,2658182.5
1315,2652795.0
1316,3208561.2
1317,2265560.8
1318,3753284.2
1319,9076960.0
1320,2049306.6
1321,7253948.0
1322,2456378.2
1323,1707783.0
1324,3772683.2
1325,5746874.0
1326,1717540.5
1327,3433621.0
1328,3429685.5
1329,1751944.1
1330,2495662.8
1331,1620275.9
1332,2760776.8
1333,2249783.8
1334,2035092.0
1335,2366419.0
1336,1620275.9
1337,2443985.2
1338,2482411.0
1342,2236901.0
1343,3188550.2
1344,2152356.5
1345,1731414.8
1346,1740036.1
1347,1721657.2
1348,2217229.5
1349,4732507.5
1350,2231858.0
1351,8627713.0
1352,7354343.5
1353,2274026.5
1354,5876084.0
1355,3718399.2
1356,1652093.6
1357,7209510.0
1358,2133334.0
1359,4052259.0
1360,7920054.0
1361,1681231.2
1362,2216265.0
1363,4509548.0
1364,2255026.0
1365,2183985.8
1370,1655435.9
1371,1902202.8
1372,1697827.2
1373,2651239.5
1374,1134955.1
1376,5068427.0
1377,1660701.9
1378,2124424.5
1379,7870664.0
1380,2521490.8
1381,2473049.0
1382,549400.4
1383,4161704.8
1384,2448670.2
1385,577320.5
1386,3033571.5
1387,4392728.5
1388,2570076.0
1389,1655435.9
1390,5783870.0
1391,3016968.5
1393,2274026.5
1394,3671176.8
1395,4668549.5
1396,2584704.0
1397,3747693.2
1398,1967968.0
1399,1620275.9
1400,869947.3
1404,1869514.9
1405,2743695.8
1406,2713833.0
1407,2386746.5
1408,2351300.5
1409,4007546.5
1410,3929796.2
1411,3455835.2
1412,3917492.2
1413,1740036.1
1414,1792370.1
1415,1660701.9
1416,1634692.8
1417,5148139.5
1418,2504829.8
1419,2195695.8
1420,3027466.5
1421,4860954.0
1422,3000814.8
1423,1940820.5
1424,2216265.0
1425,1690986.9
1426,1488670.8
1427,4264846.5
1428,2112660.0
1434,1843274.5
1435,1903063.6
1436,5253818.5
1437,4525031.5
1438,2473049.0
1439,1761534.4
1440,1546750.2
1441,1981893.2
1442,1731414.8
1443,2830556.0
1444,1574084.4
1445,1646827.6
1446,2133334.0
1447,2393354.0
1448,4224923.5
1449,4041906.8
1450,3574586.8
1451,1975588.2
1452,8743228.0
1453,1655435.9
1454,1667943.9
1459,1620275.9
1460,2043700.2
1461,1817882.0
1462,4507867.5
1463,1851071.0
1464,3555691.0
1465,1679711.5
1466,2156575.0
1467,2067617.9
1468,4227959.0
1469,2194732.5
1470,2135892.5
1471,7695764.5
1472,2122796.2
1473,2563682.2
1474,5838650.5
1475,1908449.6
1476,1731414.8
1477,1625541.9
1478,1620275.9
1479,3215233.8
1480,2026580.0
1481,2254844.5
1482,1660701.9
1483,2128068.0
1484,1947724.2
1485,4023778.2
1486,1925723.8
1491,2390604.8
1492,1950780.5
1493,5022698.5
1494,1828643.1
1495,1569461.6
1496,1652093.6
1497,1574261.4
1498,2939796.0
1499,1620275.9
1500,1915717.2
1501,2150166.5
1502,3436577.0
1503,1594613.8
1504,3478866.5
1505,4533943.5
1506,1679353.1
1507,1620275.9
1508,1708929.8
1509,1660701.9
1510,11391184.0
1511,3247693.5
1512,2077044.0
1513,4865202.0
1514,1660701.9
1519,540252.4
1520,584104.5
1521,597737.6
1522,1836093.4
1524,797737.4
1525,3138392.8
1526,576623.44
1527,547494.4
1528,622572.4
1529,707678.5
1530,561617.06
1531,2835165.8
1532,1798297.8
1533,2309223.0
1534,533552.25
1535,946318.7
1536,564713.9
1537,540252.4
1538,1117957.1
1539,941653.4
1540,802196.44
1541,547494.4
1542,540252.4
1543,1143882.1
1544,1134955.1
1548,1058905.9
1549,570225.3
1550,579720.25
1551,540252.4
1552,536894.44
1553,2309223.0
1554,631180.6
1555,576623.44
1556,579720.25
1557,564959.25
1558,1529121.9
1559,582731.25
1560,411443.84
1561,536894.44
1562,4036056.5
1563,528286.2
1564,582731.25
1565,2914072.2
1566,577467.3
1567,920511.25
1568,597737.6
1569,552207.94
1570,1004725.75
1571,582731.25
1572,765906.94
1573,1690512.2
1574,540252.4
1579,1207673.1
1580,682051.2
1581,466507.44
1582,451501.06
1583,531644.1
1584,744744.25
1585,782731.1
1586,761071.7
1587,531644.1
1588,564959.25
1589,414801.78
1590,980744.2
1591,1056562.2
1592,570225.3
1593,5138516.0
1594,552758.3
1595,540252.4
1596,1127860.0
1597,3254271.5
1598,597530.2
1599,627560.2
1600,531644.1
1601,540252.4
1602,585231.7
1603,608626.56
1604,944982.44
1605,828043.9
1606,664968.4
1607,556351.0
1611,577465.2
1612,522234.97
1613,702668.7
1614,699070.25
1615,570225.3
1616,451501.06
1617,782731.1
1618,597737.6
1619,570225.3
1620,1814211.5
1621,601207.7
1622,751180.3
1623,593738.94
1624,531644.1
1625,782731.1
1626,1225172.5
1627,577465.2
1628,585231.7
