,LeagueCountry,NationalLeagueLevel,InternationalTeam,League,Club,Age,ClubSince,ActiveInternational,FormerInternational,InternationalGames,Trending,Value
1004,Deutschland,1.Liga,,Bundesliga,Bayern München,20.0,320.0,0,0,0.0,1,300000.0
1028,Deutschland,1.Liga,Schweiz,Bundesliga,Bor. Dortmund,25.0,685.0,0,0,4.0,1,35000000.0
1029,Deutschland,1.Liga,Polen U21,Bundesliga,Bor. Dortmund,21.0,320.0,0,1,2.0,1,1300000.0
1030,Deutschland,1.Liga,,Bundesliga,Bor. Dortmund,32.0,320.0,0,0,0.0,1,1000000.0
1031,Deutschland,1.Liga,Deutschland U21,Bundesliga,Bor. Dortmund,22.0,1416.0,0,0,0.0,0,1000000.0
1061,Deutschland,1.Liga,Ungarn,Bundesliga,RB Leipzig,33.0,2877.0,0,0,51.0,0,6000000.0
1062,Deutschland,1.Liga,,Bundesliga,RB Leipzig,32.0,320.0,0,0,0.0,1,2000000.0
1063,Deutschland,1.Liga,Norwegen,Bundesliga,RB Leipzig,32.0,220.0,1,0,44.0,0,600000.0
1064,Deutschland,Jugendliga,Deutschland U19,U19-BL N/NO,RB Leipzig U19,18.0,685.0,1,0,1.0,1,200000.0
1065,Deutschland,Jugendliga,Deutschland U17,U17-BL N/NO,RB Leipzig U17,17.0,685.0,0,0,4.0,1,200000.0
1088,Deutschland,1.Liga,Finnland,Bundesliga,B. Leverkusen,33.0,1781.0,1,0,83.0,0,2500000.0
1089,Deutschland,1.Liga,Österreich,Bundesliga,B. Leverkusen,26.0,110.0,1,0,4.0,0,1500000.0
1090,Deutschland,1.Liga,Russland,Bundesliga,B. Leverkusen,31.0,676.0,0,1,7.0,0,1500000.0
1091,Deutschland,1.Liga,,Bundesliga,B. Leverkusen,29.0,3972.0,0,0,0.0,0,250000.0
1115,Deutschland,1.Liga,Deutschland,Bundesliga,E. Frankfurt,32.0,1379.0,1,0,6.0,0,8500000.0
1116,Deutschland,1.Liga,Deutschland U20,Bundesliga,E. Frankfurt,21.0,685.0,0,1,3.0,1,750000.0
1117,Deutschland,1.Liga,,Bundesliga,E. Frankfurt,34.0,667.0,0,0,0.0,0,200000.0
1118,Deutschland,1.Liga,Albanien U21,Bundesliga,E. Frankfurt,18.0,136.0,1,0,6.0,0,200000.0
1145,Deutschland,1.Liga,Schweiz,Bundesliga,Bor. M'gladbach,29.0,118.0,1,0,4.0,0,7000000.0
1146,Deutschland,1.Liga,Deutschland U20,Bundesliga,Bor. M'gladbach,21.0,1038.0,0,1,1.0,1,500000.0
1147,Deutschland,1.Liga,Deutschland,Bundesliga,Bor. M'gladbach,35.0,2877.0,0,1,0.0,0,400000.0
1172,Deutschland,1.Liga,Belgien,Bundesliga,VfL Wolfsburg,30.0,3038.0,1,0,5.0,0,8000000.0
1173,Deutschland,1.Liga,Österreich,Bundesliga,VfL Wolfsburg,35.0,1781.0,0,1,7.0,0,400000.0
1174,Deutschland,1.Liga,Deutschland U18,Bundesliga,VfL Wolfsburg,20.0,685.0,0,1,1.0,1,200000.0
1175,Deutschland,1.Liga,,Bundesliga,VfL Wolfsburg,27.0,1416.0,0,0,0.0,1,100000.0
1197,Deutschland,1.Liga,Niederlande,Bundesliga,SC Freiburg,29.0,1781.0,1,0,4.0,1,7000000.0
