,0
5427,58915.723
5454,404059.22
5455,230729.03
5456,47042.81
5482,499557.62
5483,149415.14
5485,26162.756
5514,1402097.0
5515,448885.44
5516,48880.04
5542,1487057.9
5543,246060.78
5544,49319.0
5568,349509.88
5569,302487.6
5598,59997908.0
5599,4997546.5
5600,293179.8
5623,40000870.0
5624,3975145.5
5625,1999695.4
5645,40001580.0
5646,3498672.2
5667,24999292.0
5668,288261.0
5693,1499970.5
5694,698418.6
5716,14999088.0
5717,1501024.4
5718,1000465.3
5742,25001192.0
5743,4999625.0
5744,95976.7
5767,24999146.0
5768,1511911.0
5769,505235.25
5770,183570.84
5793,12000966.0
5794,4001764.0
5817,3003349.2
5818,1207623.1
5840,10000124.0
5841,399886.03
5842,300740.44
5865,7999147.5
5866,2997615.8
5887,2501335.2
5888,296648.56
5889,297324.78
5912,3001518.5
5913,2990248.5
5914,398643.3
5939,4001397.2
5941,503305.1
5964,9997555.0
5965,1495379.9
5966,299732.97
5988,1999637.9
5989,299701.75
5990,223948.9
6014,1502155.4
6015,1000305.9
6038,9999862.0
6039,702464.6
6067,3998931.8
6068,794823.3
6093,800121.2
6094,299419.03
6121,2000868.0
6122,799001.9
6144,1199729.0
6145,202083.22
6169,99555.05
6195,401266.53
6197,99104.53
6218,704868.8
6245,598507.3
6246,100895.88
6273,800994.5
6274,296985.25
6299,1997555.6
6301,599510.5
6325,598289.7
6326,608891.25
6644,16003962.0
6645,2001212.2
6646,1999712.6
6668,44997580.0
6669,1502526.2
6670,1486352.2
6696,1497818.6
6697,995587.1
6698,115969.78
6729,6000169.0
6731,801274.75
6754,4000437.2
6755,295557.47
6784,4002912.0
6785,502752.5
6814,1503841.8
6838,498342.44
6839,198694.39
6840,200634.62
6841,97413.0
6869,1503327.1
6870,394704.75
6898,200110.78
6899,97694.92
6926,604834.1
6958,699003.75
6959,696640.44
6960,251842.62
6987,196081.45
6988,105912.36
6989,100409.15
7015,299205.88
7017,122047.81
7043,696837.4
7044,205046.48
7045,96505.63
7070,793462.1
7071,296452.97
7096,797366.1
7120,198268.81
7150,131486.16
7179,899393.8
7212,600429.6
7213,397237.8
7214,104601.01
7237,473969.12
7239,68223.44
7240,49808.43
7269,424054.44
7271,52503.934
7297,404148.38
7299,85252.55
7355,102900.95
7356,118163.16
7357,50683.027
7388,299305.4
7389,178796.58
7413,200890.97
7415,36994.99
7440,144165.28
7441,128039.54
7442,86371.34
7469,150654.7
7470,129867.14
7492,174417.12
7493,72700.875
7494,82324.234
7495,44997.926
7521,550568.7
7546,197285.56
7547,75214.805
7576,151604.23
7577,75187.21
7602,373228.56
7603,48511.613
7604,21503.043
7629,247018.36
7630,94084.75
7631,24229.303
7655,44998570.0
7656,6003444.5
7657,255118.5
7679,17995036.0
7680,14994218.0
7682,1996501.0
7711,37993332.0
7712,5009144.5
7734,44998200.0
7735,7994598.5
7736,1009961.7
7764,14998308.0
7765,1494477.0
7766,596278.7
7796,3999814.0
7797,1498941.1
7799,292944.56
7821,17998968.0
7822,2497364.0
7823,1501557.8
7850,7999309.5
7851,1000311.25
7872,7997987.0
7873,1995834.2
7874,600367.0
7899,28000170.0
7900,2002426.5
7902,388429.56
7922,18002310.0
7923,1801750.9
7950,18003868.0
7951,1998896.1
7952,202216.8
7980,32002976.0
7981,1000378.6
7982,216490.25
8005,24997218.0
8006,999848.06
8007,193960.19
8030,21996962.0
8031,5002495.0
8032,492839.94
8065,25000576.0
8066,3994302.8
8067,503540.25
8090,21998846.0
8091,2004295.1
8092,1202079.2
8114,3996624.2
8115,1495725.9
8116,249610.05
8139,10000199.0
8140,3499261.0
8163,2500330.8
8164,2001783.0
8165,502160.38
8190,6000231.5
8191,899410.56
8192,245520.67
8216,2499485.8
8217,2499288.2
8218,245817.62
8246,700696.75
8247,506615.38
8273,2997129.0
8274,1001200.44
8275,200305.97
8298,4498791.5
8300,249069.52
8323,2501388.0
8324,497167.3
8351,502030.94
8352,346024.6
8375,2796296.8
8401,1198267.5
8402,1006239.44
8403,601380.44
8404,606025.7
8429,6004074.0
8430,244232.8
8453,1998882.5
8454,490274.62
8455,248325.08
8477,1502807.9
8478,253934.53
8503,600980.4
8504,298867.2
8529,500932.38
8530,396248.25
8551,906121.56
8552,399716.66
8579,594403.1
8580,246211.17
8581,218270.4
8604,499820.72
8605,297768.1
8629,999328.44
8630,395340.3
8631,261041.12
8656,1002898.2
8657,250353.69
8683,609015.56
8684,305807.6
8713,795168.5
8735,2502391.8
8736,910431.1
8737,306270.62
8768,1995530.1
8769,296256.84
8795,351382.1
8822,2496622.2
8823,200631.36
8848,195787.52
8849,113951.59
8893,1000090.44
8895,248416.88
8922,702927.44
8924,161989.33
8951,448652.2
8952,394770.38
8979,1000769.44
9009,149683.1
9032,999803.7
9033,189443.73
9059,398451.1
9060,300090.2
9061,113152.66
9082,299200.03
9084,91136.5
9110,403777.7
9111,256788.05
9112,149342.53
9136,895323.25
9161,149728.95
9186,297751.72
9211,248930.98
9212,153990.97
9241,699477.44
9266,349709.53
9268,299857.66
9298,250310.9
10466,300392.38
10467,104227.305
10469,18494.36
10500,447923.88
10501,150343.53
10502,59338.668
10503,31488.37
10533,545607.8
10534,199861.58
10535,124088.45
10565,196140.52
10566,91426.11
10567,35732.355
10597,274665.5
10598,149264.02
10599,53007.656
10628,300774.84
10629,55959.258
10630,19370.951
10658,178701.77
