,PredictedValueSimpleModel
933,397797.47
934,359082.2
935,359217.22
938,493552.8
939,656579.1
940,111844.28
941,235649.94
942,-161642.0
946,166759.19
947,-123061.69
948,-123061.69
949,397797.47
950,296818.2
951,39022.484
952,113643.67
954,177777.08
955,834806.2
956,-567387.9
957,205339.4
958,-161642.0
961,600227.25
962,446484.7
963,446484.7
964,254026.62
965,598037.56
968,112512.72
969,235649.94
970,235649.94
975,36830.453
976,587688.4
977,-173068.28
978,395230.5
979,531695.94
980,531695.94
981,531695.94
982,361770.78
983,-214757.4
984,495992.75
985,424662.12
986,205339.4
987,424662.12
988,-143818.84
989,226464.3
990,274230.34
991,493552.8
992,466688.16
993,274230.34
994,199608.81
995,303661.84
996,298562.47
1002,74779950.0
1003,58263236.0
1004,50120320.0
1005,73950690.0
1006,6659327.0
1007,55416930.0
1008,34027612.0
1009,26145806.0
1010,15613807.0
1011,4735279.0
1012,78843820.0
1013,68589230.0
1014,26346744.0
1015,105825480.0
1016,1137361.4
1017,10645914.0
1018,67216030.0
1019,41898184.0
1020,68039180.0
1021,53925144.0
1022,17881898.0
1023,14496598.0
1024,11699193.0
1029,33975276.0
1030,31882846.0
1031,6226408.5
1032,8499917.0
1033,473793.22
1034,17996940.0
1035,7807424.0
1036,4629884.0
1037,9906498.0
1038,9456643.0
1039,8096041.0
1040,2341714.2
1041,1026004.3
1042,15590121.0
1043,18455958.0
1044,111527.13
1045,115265760.0
1046,10561840.0
1047,38274510.0
1048,23868742.0
1049,5139691.5
1050,188699.53
1051,35732852.0
1052,8531110.0
1053,18830802.0
1054,7249674.0
1055,25358354.0
1056,31152946.0
1057,2254510.0
1064,66701400.0
1065,30211214.0
1066,15534387.0
1067,9424710.0
1068,22989946.0
1069,4267052.0
1070,6840164.5
1071,14109264.0
1072,13442960.0
1073,21115282.0
1074,21012276.0
1075,20446102.0
1076,4228341.0
1077,38971876.0
1078,38946720.0
1079,10035166.0
1080,4730838.0
1081,75394930.0
1082,24713342.0
1083,20643952.0
1084,9608193.0
1089,24018660.0
1090,24571802.0
1091,18785366.0
1092,20711568.0
1093,10119412.0
1094,4290693.0
1095,31474800.0
1096,7295420.5
1097,4775735.5
1098,9432988.0
1099,3152978.0
1100,527850.3
1101,16695155.0
1102,12538024.0
1103,4507190.5
1104,74697840.0
1105,17093266.0
1106,50146336.0
1107,21041940.0
1108,1603378.1
1109,30812928.0
1110,12349581.0
1111,9628905.0
1116,25972364.0
1117,12930890.0
1118,8563241.0
1119,9740136.0
1120,3040323.5
1121,5841417.5
1122,2316835.2
1123,-197058.84
1124,8750775.0
1125,4284740.0
1126,12448144.0
1127,21383882.0
1128,1617249.5
1129,2129477.5
1130,712274.06
1131,10553114.0
1132,27550714.0
1133,23500846.0
1134,12333257.0
1135,6323717.0
1136,3365245.0
1137,9367857.0
1138,59845416.0
1139,12668264.0
1140,4500533.0
1145,19394822.0
1146,13981904.0
1147,3404524.2
1148,989580.25
1149,3727752.5
1150,17205060.0
1151,8350419.0
1152,8025907.5
1153,4992222.5
1155,11550925.0
1156,-1027443.2
1157,20361142.0
1158,12877239.0
1159,4016584.0
1160,6710496.5
1161,3752927.8
1162,12367768.0
1163,5756404.5
1164,9124556.0
1165,9794999.0
1166,6649512.0
1167,3430271.0
1168,34918480.0
1173,16028669.0
1174,11864334.0
1175,11252184.0
1176,8259843.5
1177,9954152.0
1178,13039076.0
1179,5638182.5
1180,6009974.0
1181,6705793.5
1182,13851632.0
1183,10911245.0
1184,9563889.0
1185,5758485.0
1186,15398062.0
1187,9928343.0
1188,10317207.0
1189,4134490.2
1190,15494773.0
1191,11950883.0
1192,8979485.0
1193,3022480.2
1197,11670361.0
1198,15807101.0
1199,2158224.5
1200,5057779.5
1201,7599350.5
1202,3197388.0
1203,6607984.0
1204,3262961.0
1205,4256108.5
1206,6782043.5
1207,1654203.9
1208,7005577.5
1209,2776702.8
1210,2522922.8
1211,6438144.5
1212,10016866.0
1213,4761087.5
1214,9711130.0
1215,13321289.0
1216,5287807.0
1217,9691293.0
1218,4420586.0
1219,5292551.5
1224,12641284.0
1225,5678414.5
1226,5039603.0
1227,3358857.5
1228,3497507.5
1229,4802537.5
1230,-832465.2
1231,7703659.0
1232,4056693.0
1233,3770259.0
1234,4828734.5
1235,3824277.8
1236,4593486.5
1237,4250196.5
1238,5223628.0
1239,4089116.0
1240,3282740.2
1241,6597048.5
1242,13306257.0
1243,4280166.0
1244,1810578.4
1245,6054675.5
1246,8546233.0
1247,12676133.0
1248,4603077.0
1249,4468248.0
1250,3627815.0
1254,16455495.0
1255,6352523.5
1256,3257358.2
1257,5743902.5
1258,3537597.2
1259,2676856.5
1260,2714580.5
1261,7531645.5
1262,2615631.5
1263,4030239.5
1264,8334657.0
1265,3813391.2
1266,5579553.0
1267,4878004.5
1268,4010162.5
1269,3394041.8
1270,2504945.5
1271,3661700.2
1272,3129355.8
1273,7716011.0
1274,4757065.0
1275,6481781.5
1276,3707050.2
1277,2191654.5
1282,6866005.5
1283,3233299.5
1284,3707269.0
1285,2831497.8
1286,3597638.2
1287,4650020.0
1288,6784399.0
1289,1078590.0
1290,4589558.5
1291,3157592.5
1292,2013317.9
1293,869555.1
1294,1710612.1
1295,3974421.5
1296,1313542.9
1297,1718469.8
1298,5315542.0
1300,10039018.0
1301,4079573.8
1302,2356628.5
1303,1813769.9
1304,2433526.8
1305,7685521.5
1306,10778525.0
1307,3215002.8
1308,2334257.5
1309,4824161.5
1313,7929815.0
1314,5424650.0
1315,3998877.5
1316,6534654.5
1317,2529381.8
1318,9697184.0
1319,10113805.0
1320,3205951.2
1321,7558511.0
1322,3825538.0
1323,2991296.0
1324,3481740.8
1325,5029460.0
1326,2288817.8
1327,3866806.0
1328,2890410.0
1329,3999890.5
1330,5294105.5
1331,3232777.5
1332,3531778.2
1333,4335128.5
1334,4239699.0
1335,3704537.5
1336,2974048.0
1337,3007699.5
1338,2797337.2
1342,3879572.8
1343,4351965.0
1344,3374902.5
1345,3191833.8
1346,2511450.5
1347,5953994.5
1348,5709021.0
1349,1882319.0
1350,3436697.8
1351,11033482.0
1352,7633541.5
1353,3563147.0
1354,5518447.5
1355,5242213.5
1356,2482201.0
1357,2470976.0
1358,3579682.0
1359,2394071.0
1360,6117368.0
1361,4143148.5
1362,6606474.0
1363,5395238.5
1364,3190774.0
1365,3081608.5
1370,3239131.0
1371,3679945.0
1372,3235491.5
1373,2960432.5
1374,-84518.02
1376,-560904.56
1377,1906774.8
1378,3056507.5
1379,12774679.0
1380,7930804.5
1381,3723816.5
1382,435077.8
1383,3368854.5
1384,1607685.2
1385,281335.38
1386,4047297.0
1387,4246836.0
1388,3953032.5
1389,3112106.0
1390,5730171.0
1391,1879110.0
1393,2199345.2
1394,3673856.8
1395,2491413.2
1396,4114093.5
1397,2358268.2
1398,2871489.2
1399,2322165.8
1400,19784.195
1404,2449289.5
1405,3311681.0
1406,1817346.1
1407,3353356.8
1408,3096817.8
1409,4467431.0
1410,48660.58
1411,2845709.5
1412,2896432.0
1413,1140130.9
1414,5474762.5
1415,2600961.8
1416,1705395.0
1417,7401997.0
1418,6067434.5
1419,2073036.4
1420,4588454.0
1421,8792996.0
1422,2728787.5
1423,2665390.8
1424,2779993.0
1425,2936444.2
1426,1370447.8
1427,1435889.9
1428,2135680.5
1434,4138450.5
1435,2447059.8
1436,4639207.0
1437,3752281.0
1438,2222011.8
1439,3708306.2
1440,1378661.8
1441,2038938.5
1442,2150250.0
1443,4375372.0
1444,643748.7
1445,998769.06
1446,3570660.0
1447,2586031.8
1448,5738356.0
1449,2958501.5
1450,2385032.8
1451,2291684.5
1452,9864166.0
1453,1750429.6
1454,1452900.8
1459,1307590.1
1460,3095961.5
1461,1342368.8
1462,1519982.1
1463,1409964.1
1464,3137160.5
1465,3742692.0
1466,1741338.5
1467,2406794.8
1468,2203754.0
1469,1335383.8
1470,1680172.8
1471,4264090.5
1472,3665602.5
1473,1705615.4
1474,1801064.9
1475,210759.95
1476,1958141.2
1477,953221.4
1478,1346170.4
1479,12375323.0
1480,849647.9
1481,1587444.8
1482,1629746.2
1483,1412892.2
1484,418068.1
1485,930317.1
1486,386245.7
1491,4666700.5
1492,3486432.2
1493,6445459.0
1494,2245481.5
1495,1103774.2
1496,998769.06
1497,2558055.8
1498,1897930.6
1499,1589843.2
1500,1900521.1
1501,-815734.7
1502,840042.25
1503,1667299.8
1504,3167271.5
1505,2839316.0
1506,2311895.2
1507,1567199.8
1508,1335399.2
1509,1677811.0
1510,7556044.5
1511,1107661.6
1512,1640605.1
1513,3257356.5
1514,1357480.8
1519,514318.28
1520,1155662.2
1521,733458.5
1522,493678.06
1524,68728.16
1525,1357288.1
1526,220495.88
1527,360818.25
1528,117888.945
1529,819665.0
1530,-6540.94
1531,2135905.2
1532,534880.3
1533,878812.6
1534,817251.4
1535,1099511.9
1536,634223.56
1537,420182.66
1538,540854.2
1539,1081835.8
1540,723799.44
1541,418341.47
1542,420182.66
1543,896073.75
1544,121946.9
1548,539949.4
1549,1301329.9
1550,818598.56
1551,514318.28
1552,281335.38
1553,699682.9
1554,634562.25
1555,220495.88
1556,473637.25
1557,230164.28
1558,1532968.5
1559,541182.7
1560,-71416.47
1561,281335.38
1562,2395387.0
1563,-47065.938
1564,1093981.8
1565,712027.0
1566,796964.0
1567,222241.84
1568,977202.44
1569,697598.4
1570,659598.8
1571,1179765.0
1572,-262117.48
1573,-1093803.1
1574,352170.9
1579,354745.94
1580,309311.1
1581,251623.62
1582,-30891.453
1583,-6540.94
1584,1360227.8
1585,254164.3
1586,-156082.1
1587,-62533.4
1588,320754.34
1589,-148243.16
1590,1094419.6
1591,729125.56
1592,543567.8
1593,1950104.1
1594,541182.7
1595,514318.28
1596,78649.35
1597,1665690.1
1598,-358402.4
1599,686949.2
1600,316129.78
1601,713948.9
1602,612458.2
1603,296863.22
1604,449432.1
1605,606123.6
1606,915420.06
1607,277549.7
1611,1042088.6
1612,346192.53
1613,684229.1
1614,298806.16
1615,351291.9
1616,-112539.97
1617,68728.16
1618,605614.5
1619,422622.6
1620,-956318.94
1621,672911.5
1622,570432.1
1623,-437444.6
1624,-6540.94
1625,382059.0
1626,1690197.6
1627,1517796.0
1628,296863.22
1629,362142.1
1630,62349.777
1631,6437804.5
1632,1110979.4
1633,1814448.1
1634,246534.16
1639,283002.84
1640,514318.28
1641,2049101.1
1642,718440.2
1643,247238.94
1644,378882.34
1645,547563.5
1646,1508604.0
1647,458325.8
1648,422622.6
1649,449487.25
1650,383907.3
1651,351291.9
1652,1709718.6
