league_country,scraping_time,link,no,name,league,club,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Griechenland,20230420230244,https://www.transfermarkt.ch/georgios-vasiltsis/profil/spieler/689423,,Georgios Vasiltsis,,AEP Kozanis,20,,Griechenland,Mittelstürmer,,,,01.07.2022,30.06.2023,,,,,,,,10 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420230339,https://www.transfermarkt.ch/evan-salines/profil/spieler/755163,,Evan Salines,,Golden Lion,25,"1,74 m",Martinique,Mittelfeld,links,,,01.07.2022,-,Martinique,,2,0,,,,25 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420230419,https://www.transfermarkt.ch/panagiotis-roumeliotis/profil/spieler/737203,,Panagiotis Roumeliotis,,AO Diavolitsiou,19,,Griechenland,Sturm,,,,12.09.2022,30.06.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420230515,https://www.transfermarkt.ch/dimitrios-tairis/profil/spieler/125031,88,Dimitrios Tairis,Super League 2,PS Kalamata,2.Liga,33,"1,84 m",Griechenland,Torwart,rechts,,,31.08.2020,30.06.2023,,,,,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,300 Tsd. €,07.06.2015,89,89,20,,,,,,,,,,,,,,,,,,
Griechenland,20230420230539,https://www.transfermarkt.ch/konstantinos-kapoutaglis/profil/spieler/365246,,Konstantinos Kapoutaglis,,APO Keratsini,26,"1,85 m",Griechenland,Torwart,rechts,,,20.07.2022,30.06.2023,,Griechenld. U19,1,0,,,,150 Tsd. €,11.06.2019,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420230621,https://www.transfermarkt.ch/giannis-arabatzis/profil/spieler/9847,,Giannis Arabatzis,,Agia Paraskevi,38,"1,91 m",Griechenland,Torwart,rechts,,,31.07.2022,30.06.2023,,Griechenland U21,0,0,,,,"1,20 Mio. €",28.02.2012,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420230704,https://www.transfermarkt.ch/vangelis-karachalios/profil/spieler/624134,95,Vangelis Karachalios,Super League 2,PS Kalamata,2.Liga,20,,Griechenland,Torwart,,,,01.07.2020,30.06.2023,,Griechenl. U16,2,0,25 Tsd. €Letzte Änderung: 23.02.2023,Tsd. €,Letzte Änderung: 23.02.2023,25 Tsd. €,28.12.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420230723,https://www.transfermarkt.ch/timotheos-tselepidis/profil/spieler/365247,62,Timotheos Tselepidis,Super League 2,Apollon Smyrnis,2.Liga,27,"1,84 m",Griechenland,Innenverteidiger,rechts,,,25.07.2022,30.06.2023,,Griechenland U21,1,0,300 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,300 Tsd. €,11.06.2019,74,74,,0,,Gelbsperre - Super League 2bis 24.04.2023,,,,,,,,,,,,,,,
Griechenland,20230420230741,https://www.transfermarkt.ch/alexandros-galitsios/profil/spieler/199175,4,Alexandros Galitsios,Super League 2,Iraklis Larisas,2.Liga,30,"1,91 m",Griechenland,Innenverteidiger,rechts,,,17.08.2021,30.06.2023,,Griechenld. U19,8,0,225 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,300 Tsd. €,11.06.2019,72,68,,0,,,,,13,"1,15",-,-,-,-,2,-,-,-,-,-,1.097'
Griechenland,20230420230758,https://www.transfermarkt.ch/junior-bakayoko/profil/spieler/691355,75,Junior Bakayoko,Super League 2,PS Kalamata,2.Liga,28,"1,93 m",Frankreich,Innenverteidiger,,Familienangehörige,,23.10.2020,30.06.2023,,,,,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,200 Tsd. €,27.06.2022,42,42,,4,,unbekannte VerletzungRückkehr unbekannt,,,,,,,,,,,,,,,
Griechenland,20230420230819,https://www.transfermarkt.ch/ilias-evangelou/profil/spieler/342787,4,Ilias Evangelou,Super League 2,Kallithea,2.Liga,25,"1,83 m",Griechenland,Innenverteidiger,links,ohne Berater,,17.09.2021,30.06.2023,,Griechenland U21,2,0,300 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,300 Tsd. €,27.02.2023,39,39,,0,,,,,,,,,,,,,,,,,
Griechenland,20230420230836,https://www.transfermarkt.ch/panagiotis-konstantinopoulos/profil/spieler/342345,24,Panagiotis Konstantinopoulos,Super League 2,PS Kalamata,2.Liga,27,"1,76 m",Griechenland,Linker Verteidiger,links,ohne Berater,,01.07.2019,30.06.2024,,,,,250 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,250 Tsd. €,27.06.2022,58,61,,0,,,,,,,,,,,,,,,,,
Griechenland,20230420230856,https://www.transfermarkt.ch/konstantinos-panagiotou/profil/spieler/682959,22,Konstantinos Panagiotou,Super League 2,AE Kifisias,2.Liga,26,,Griechenland,Rechter Verteidiger,rechts,SPORTS CONNECTION,,01.07.2022,30.06.2024,,,,,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,200 Tsd. €,28.12.2021,37,35,,4,,,,,10,"2,80",-,2,-,3,3,2,-,-,-,-,599'
Griechenland,20230420230920,https://www.transfermarkt.ch/randy-mavinga/profil/spieler/800273,19,Randy Mavinga,Super League 2,PS Kalamata,2.Liga,22,,Frankreich,Rechter Verteidiger,rechts,MYG Invest,,05.10.2020,30.06.2023,,,,,150 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,150 Tsd. €,27.06.2022,42,39,,0,http://www.instagram.com/randymavinga/,unbekannte VerletzungRückkehr unbekannt,,,,,,,,,,,,,,,
Griechenland,20230420230939,https://www.transfermarkt.ch/nikolaos-anastasopoulos/profil/spieler/232593,32,Nikolaos Anastasopoulos,Super League 2,Apollon Smyrnis,2.Liga,30,"1,86 m",Griechenland,Defensives Mittelfeld,rechts,ohne Berater,,04.01.2023,30.06.2023,,,,,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,300 Tsd. €,21.12.2016,37,39,,0,,Gelbsperre - Super League 2bis 24.04.2023,,,,,,,,,,,,,,,
Griechenland,20230420231001,https://www.transfermarkt.ch/athanasios-papatolios/profil/spieler/191662,31,Athanasios Papatolios,Super League 2,PS Kalamata,2.Liga,28,"1,84 m",Griechenland,Defensives Mittelfeld,rechts,soccer1 Management Consulting,,24.09.2020,30.06.2024,,,,,250 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,250 Tsd. €,20.04.2017,89,85,,4,,,,,,,,,,,,,,,,,
Griechenland,20230420231022,https://www.transfermarkt.ch/michalis-zacharopoulos/profil/spieler/342896,,Michalis Zacharopoulos,,Panthouriakos,27,"1,78 m",Griechenland,Defensives Mittelfeld,rechts,,,01.01.2022,-,,,,,,,,100 Tsd. €,08.03.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420231108,https://www.transfermarkt.ch/theodoros-karoutis/profil/spieler/806488,97,Theodoros Karoutis,Super League 2,PS Kalamata,2.Liga,25,,Griechenland,Defensives Mittelfeld,,,,21.08.2020,30.06.2023,,,,,25 Tsd. €Letzte Änderung: 27.06.2022,Tsd. €,Letzte Änderung: 27.06.2022,25 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420231137,https://www.transfermarkt.ch/charalabos-pavlidis/profil/spieler/108739,10,Charalabos Pavlidis,Super League 2,Proodeftiki,2.Liga,31,"1,79 m",Griechenland,Offensives Mittelfeld,rechts,,,18.07.2022,30.06.2023,,,,,175 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,300 Tsd. €,20.04.2017,72,69,,30,,,,,,,,,,,,,,,,,
Griechenland,20230420231205,https://www.transfermarkt.ch/chumbinho/profil/spieler/79132,,Chumbinho,,Ellas Syrou,36,"1,75 m",Brasilien,Offensives Mittelfeld,beidfüßig,ohne Berater,,27.07.2022,30.06.2023,,,,,,,,"1,50 Mio. €",21.09.2012,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420231252,https://www.transfermarkt.ch/alexandros-natsiopoulos/profil/spieler/244650,,Alexandros Natsiopoulos,,GS Marko,32,"1,78 m",Griechenland,Offensives Mittelfeld,links,,,18.08.2022,30.06.2023,,,,,,,,150 Tsd. €,21.12.2014,,,,,,,,,,,,,,,,,,,,,
