league_country,scraping_time,link,no,name,league,club,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Ukraine,20230421071707,https://www.transfermarkt.ch/khusrav-toirov/profil/spieler/762387,77,Khusrav Toirov,Premier Liga,Shakhtar D.,1.Liga,18,"1,81 m",Tadschikistan,Linksaußen,rechts,Elite Star Agency,,01.03.2023,31.12.2027,Tadschikistan,,0,0,300 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,300 Tsd. €,28.03.2023,0,0,,0,http://www.instagram.com/husrav__77/,,,,1,"3,00",-,-,-,1,-,-,-,-,-,-,3'
Ukraine,20230421071718,https://www.transfermarkt.ch/oleksandr-zubkov/profil/spieler/289075,11,Oleksandr Zubkov,Premier Liga,Shakhtar D.,1.Liga,26,"1,82 m",Ukraine,Rechtsaußen,links,ProStar,,05.08.2022,30.06.2027,Ukraine,,24,2,"4,00 Mio. €Letzte Änderung: 28.03.2023",Mio. €,Letzte Änderung: 28.03.2023,"4,00 Mio. €",28.03.2023,38,33,,10,http://www.instagram.com/zubiksane4ka/,unbekannte VerletzungRückkehr unbekannt,,,10,"2,80",4,1,-,2,6,-,-,-,-,155',619'
Ukraine,20230421071729,https://www.transfermarkt.ch/maryan-shved/profil/spieler/359247,9,Maryan Shved,Premier Liga,Shakhtar D.,1.Liga,25,"1,71 m",Ukraine,Rechtsaußen,links,ProStar,,01.09.2022,30.06.2027,,Ukraine,2,0,"1,20 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"2,00 Mio. €",10.12.2018,5,8,,6,http://www.instagram.com/m.shved35/?hl=it,TrainingsrückstandRückkehr unbekannt,,,4,"3,00",2,1,-,3,1,-,-,-,-,70',140'
Ukraine,20230421071742,https://www.transfermarkt.ch/lassina-traore/profil/spieler/551695,2,Lassina Traoré,Premier Liga,Shakhtar D.,1.Liga,22,"1,83 m",Burkina Faso,Mittelstürmer,rechts,Forza Sports Group,adidas,01.07.2021,30.06.2026,Burkina Faso,,17,7,"7,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"9,00 Mio. €",03.09.2021,38,43,,13,http://www.instagram.com/traorelassinafranc/,,,,17,"2,47",3,4,-,9,8,5,-,-,-,267',802'
Ukraine,20230421071753,https://www.transfermarkt.ch/danylo-sikan/profil/spieler/417228,14,Danylo Sikan,Premier Liga,Shakhtar D.,1.Liga,22,"1,87 m",Ukraine,Mittelstürmer,rechts,GG11,adidas,01.07.2020,30.06.2024,Ukraine U21,,13,6,"4,00 Mio. €Letzte Änderung: 28.03.2023",Mio. €,Letzte Änderung: 28.03.2023,"4,00 Mio. €",28.03.2023,52,47,,17,http://www.instagram.com/danilsikan/,,,,20,"2,45",8,1,-,9,11,2,-,-,1,111',891'
Ukraine,20230421071807,https://www.transfermarkt.ch/kevin-kelsy/profil/spieler/888023,18,Kevin Kelsy,Premier Liga,Shakhtar D.,1.Liga,18,"1,93 m",Venezuela,Mittelstürmer,links,,,31.01.2023,31.12.2027,Venezuela U20,,11,2,800 Tsd. €Letzte Änderung: 17.02.2023,Tsd. €,Letzte Änderung: 17.02.2023,800 Tsd. €,17.02.2023,25,28,,9,,,,,6,"2,67",2,-,-,4,2,1,-,-,-,100',200'
Ukraine,20230421071824,https://www.transfermarkt.ch/andriy-boryachuk/profil/spieler/203854,45,Andriy Boryachuk,Premier Liga,Shakhtar D.,1.Liga,26,"1,76 m",Ukraine,Mittelstürmer,rechts,ProStar,,01.01.2017,30.06.2023,,Ukraine,2,0,400 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,800 Tsd. €,03.01.2017,36,33,,8,http://www.instagram.com/andreyboriachuk/,,,,1,"3,00",-,-,-,1,-,-,-,-,-,-,7'
Ukraine,20230421071841,https://www.transfermarkt.ch/georgiy-bushchan/profil/spieler/206888,1,Georgiy Bushchan,Premier Liga,Dynamo Kiew,1.Liga,28,"1,96 m",Ukraine,Torwart,rechts,GG11,,01.01.2017,30.06.2026,Ukraine,,15,0,"10,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"10,00 Mio. €",06.09.2022,24,24,0,,http://www.instagram.com/georgiybuschan/,,6,3,5,"1,40",-,,-,-,-,1,-,-,,,450'
Ukraine,20230421071853,https://www.transfermarkt.ch/ruslan-neshcheret/profil/spieler/417242,35,Ruslan Neshcheret,Premier Liga,Dynamo Kiew,1.Liga,21,"1,90 m",Ukraine,Torwart,rechts,ProStar,,03.08.2020,31.12.2027,Ukraine U21,,8,0,"2,00 Mio. €Letzte Änderung: 28.03.2023",Mio. €,Letzte Änderung: 28.03.2023,"2,00 Mio. €",28.03.2023,62,64,100,,,,11,6,14,"1,93",-,,-,1,-,-,-,-,,,1.206'
Ukraine,20230421071909,https://www.transfermarkt.ch/denys-boyko/profil/spieler/91931,71,Denys Boyko,Premier Liga,Dynamo Kiew,1.Liga,35,"1,97 m",Ukraine,Torwart,rechts,ProStar,,01.07.2018,30.06.2023,,Ukraine,7,0,"1,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"5,50 Mio. €",07.06.2015,14,12,0,,http://www.instagram.com/king_kong_71/,,-,3,3,"3,00",-,,-,-,1,-,-,-,,,234'
Ukraine,20230421071923,https://www.transfermarkt.ch/denys-popov/profil/spieler/404841,4,Denys Popov,Premier Liga,Dynamo Kiew,1.Liga,24,"1,85 m",Ukraine,Innenverteidiger,beidfüßig,ProStar,adidas,01.07.2019,30.09.2025,Ukraine,,3,0,"3,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"3,50 Mio. €",14.01.2021,71,62,,0,http://www.instagram.com/popov19/,,,,16,"1,75",-,-,-,1,3,2,1,-,-,-,1.176'
Ukraine,20230421071934,https://www.transfermarkt.ch/oleksandr-syrota/profil/spieler/505463,34,Oleksandr Syrota,Premier Liga,Dynamo Kiew,1.Liga,22,"1,93 m",Ukraine,Innenverteidiger,links,ProStar,,01.08.2020,30.09.2025,Ukraine,,2,0,"3,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"3,00 Mio. €",20.12.2021,29,38,,0,,,,,10,"1,70",-,-,-,4,-,4,-,-,-,-,725'
Ukraine,20230421071947,https://www.transfermarkt.ch/maksym-dyachuk/profil/spieler/726014,25,Maksym Dyachuk,Premier Liga,Dynamo Kiew,1.Liga,19,"1,85 m",Ukraine,Innenverteidiger,rechts,ProStar,,01.07.2022,30.06.2025,Ukraine U19,,0,0,500 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,500 Tsd. €,28.03.2023,53,51,,0,,,,,6,"1,67",-,-,-,-,-,1,-,-,-,-,540'
Ukraine,20230421072000,https://www.transfermarkt.ch/anton-bol/profil/spieler/838384,3,Anton Bol,,Dynamo Kiew U19,20,"1,87 m",Ukraine,Innenverteidiger,rechts,ProStar,,01.07.2021,30.06.2024,Ukraine U21,,6,0,,,,100 Tsd. €,06.09.2022,,,,,,,,,,,,,,,,,,,,,
Ukraine,20230421072037,https://www.transfermarkt.ch/vladyslav-dubinchak/profil/spieler/366723,44,Vladyslav Dubinchak,Premier Liga,Dynamo Kiew,1.Liga,24,"1,73 m",Ukraine,Linker Verteidiger,links,ProStar,,01.07.2021,30.06.2025,,Ukraine U21,11,0,"2,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"2,00 Mio. €",06.12.2022,48,47,,3,,,,,14,"1,71",-,1,-,4,5,3,-,-,-,-,887'
Ukraine,20230421072050,https://www.transfermarkt.ch/kostyantyn-vivcharenko/profil/spieler/636237,2,Kostyantyn Vivcharenko,Premier Liga,Dynamo Kiew,1.Liga,20,"1,78 m",Ukraine,Linker Verteidiger,links,CSM Sport & Entertainment,,01.07.2022,31.12.2025,Ukraine U21,,18,2,"1,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"1,00 Mio. €",06.12.2022,38,43,,3,,,,,16,"2,06",-,1,-,8,4,2,-,-,-,-,813'
Ukraine,20230421072108,https://www.transfermarkt.ch/oleksandr-karavaev/profil/spieler/59322,20,Oleksandr Karavaev,Premier Liga,Dynamo Kiew,1.Liga,30,"1,75 m",Ukraine,Rechter Verteidiger,rechts,ProStar,adidas,01.07.2019,30.06.2023,Ukraine,,47,2,"3,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"5,00 Mio. €",27.05.2021,52,52,,3,http://www.instagram.com/karavaievaleksandr/,unbekannte VerletzungRückkehr unbekannt,,,16,"1,88",-,1,-,5,5,4,-,-,-,-,988'
Ukraine,20230421072121,https://www.transfermarkt.ch/oleksandr-tymchyk/profil/spieler/287792,24,Oleksandr Tymchyk,Premier Liga,Dynamo Kiew,1.Liga,26,"1,80 m",Ukraine,Rechter Verteidiger,rechts,ProStar,,01.08.2020,30.09.2025,Ukraine,,12,1,"2,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"2,50 Mio. €",20.12.2021,43,39,,3,http://www.instagram.com/tymchyk_18/,,,,11,"2,00",1,-,-,2,4,3,-,-,-,732',732'
Ukraine,20230421072132,https://www.transfermarkt.ch/sergiy-sydorchuk/profil/spieler/124182,5,Sergiy Sydorchuk,Premier Liga,Dynamo Kiew,1.Liga,31,"1,89 m",Ukraine,Defensives Mittelfeld,rechts,ProStar,,01.07.2013,30.06.2025,Ukraine,,54,3,"4,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"5,00 Mio. €",20.12.2021,90,92,,3,http://instagram.com/sidorchuksergey,,,,20,"1,85",-,1,-,1,2,7,-,-,-,-,1.738'
Ukraine,20230421072145,https://www.transfermarkt.ch/reshat-ramadani/profil/spieler/893187,92,Reshat Ramadani,Premier Liga,Dynamo Kiew,1.Liga,19,"1,86 m",Nordmazedonien,Defensives Mittelfeld,rechts,,,01.03.2023,30.06.2026,Nordmazed. U21,,6,0,300 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,300 Tsd. €,28.03.2023,0,0,,0,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
Ukraine,20230421072202,https://www.transfermarkt.ch/mykola-shaparenko/profil/spieler/368611,10,Mykola Shaparenko,Premier Liga,Dynamo Kiew,1.Liga,24,"1,78 m",Ukraine,Zentrales Mittelfeld,rechts,ProStar,adidas,01.01.2018,30.09.2025,Ukraine,,28,1,"9,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"10,00 Mio. €",20.12.2021,5,7,,3,http://www.instagram.com/nikolay.shaparenko/,KreuzbandrissRückkehr unbekannt,,,2,"0,00",-,1,-,1,-,1,-,-,-,-,134'
Ukraine,20230421072209,https://www.transfermarkt.ch/volodymyr-shepelev/profil/spieler/294746,8,Volodymyr Shepelev,Premier Liga,Dynamo Kiew,1.Liga,25,"1,84 m",Ukraine,Zentrales Mittelfeld,rechts,ProStar,,01.01.2017,30.06.2024,,Ukraine,6,0,"2,50 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"4,00 Mio. €",20.06.2019,71,59,,10,http://www.instagram.com/shepelev__8/,,,,18,"1,83",1,2,-,3,13,3,-,-,-,1.117',1.117'
Ukraine,20230421072223,https://www.transfermarkt.ch/oleksandr-andriyevskyi/profil/spieler/207074,18,Oleksandr Andriyevskyi,Premier Liga,Dynamo Kiew,1.Liga,28,"1,79 m",Ukraine,Zentrales Mittelfeld,links,ProStar,,01.07.2018,30.09.2025,,Ukraine,1,0,"1,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"1,20 Mio. €",14.01.2021,10,13,,0,http://www.instagram.com/andriievskyi/,,,,7,"2,29",-,-,-,5,1,1,-,-,-,-,252'
Ukraine,20230421072236,https://www.transfermarkt.ch/justin-lonwijk/profil/spieler/357917,22,Justin Lonwijk,Premier Liga,Dynamo Kiew,1.Liga,23,"1,89 m",Niederlande,Zentrales Mittelfeld,rechts,GloBall Group,Nike,22.09.2022,30.06.2027,,Niederlande U19,9,0,"1,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"1,00 Mio. €",06.12.2022,61,56,,7,,,,,16,"2,13",1,1,-,5,6,3,-,-,-,915',915'
Ukraine,20230421072251,https://www.transfermarkt.ch/oleksandr-yatsyk/profil/spieler/726019,14,Oleksandr Yatsyk,,Dynamo Kiew U19,20,"1,82 m",Ukraine,Zentrales Mittelfeld,rechts,ProStar,,01.08.2019,31.01.2026,Ukraine U19,,5,0,100 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,100 Tsd. €,01.07.2022,,,,,,,,,,,,,,,,,,,,,
Ukraine,20230421072320,https://www.transfermarkt.ch/vitaliy-buyalskyi/profil/spieler/167722,29,Vitaliy Buyalskyi,Premier Liga,Dynamo Kiew,1.Liga,30,"1,75 m",Ukraine,Offensives Mittelfeld,rechts,ProStar,,01.08.2014,30.06.2025,Ukraine,,10,0,"8,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"8,00 Mio. €",06.12.2022,86,84,,47,http://www.instagram.com/vitaliy__buyalskiy/,,,,18,"1,89",11,3,-,-,3,2,-,1,-,144',1.581'
Ukraine,20230421072334,https://www.transfermarkt.ch/vladyslav-kabaev/profil/spieler/210689,7,Vladyslav Kabaev,Premier Liga,Dynamo Kiew,1.Liga,27,"1,77 m",Ukraine,Offensives Mittelfeld,rechts,ProStar,,31.08.2022,30.06.2026,,Ukraine U21,4,0,"1,50 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"1,80 Mio. €",07.06.2021,64,47,,6,http://www.instagram.com/kabaev22/,unbekannte VerletzungRückkehr unbekannt,,,14,"1,71",-,-,-,1,13,2,-,-,-,-,853'
Ukraine,20230421072345,https://www.transfermarkt.ch/denys-garmash/profil/spieler/70754,19,Denys Garmash,Premier Liga,Dynamo Kiew,1.Liga,33,"1,86 m",Ukraine,Offensives Mittelfeld,rechts,,,01.07.2009,30.06.2025,,Ukraine,31,2,"1,50 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"6,50 Mio. €",17.06.2013,19,44,,3,,,,,20,"1,85",-,1,-,16,4,1,-,-,-,-,825'
Ukraine,20230421072402,https://www.transfermarkt.ch/bogdan-lednev/profil/spieler/423606,70,Bogdan Lednev,Premier Liga,Dynamo Kiew,1.Liga,25,"1,73 m",Ukraine,Offensives Mittelfeld,links,ProStar,,01.08.2020,30.06.2024,,Ukraine,0,0,800 Tsd. €Letzte Änderung: 11.10.2022,Tsd. €,Letzte Änderung: 11.10.2022,"2,50 Mio. €",04.09.2020,,,,,http://www.instagram.com/liedniev_bogdan_7_/,SchienbeinbruchRückkehr voraussichtlich am 30.04.2023,,,,,,,,,,,,,,,
Ukraine,20230421072415,https://www.transfermarkt.ch/anton-tsarenko/profil/spieler/717390,37,Anton Tsarenko,Premier Liga,Dynamo Kiew,1.Liga,18,"1,62 m",Ukraine,Offensives Mittelfeld,rechts,Ivan Ishchenko,,01.01.2023,31.12.2024,Ukraine U19,,9,3,300 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,300 Tsd. €,28.03.2023,33,38,,11,,,,,6,"1,67",1,-,-,3,3,-,-,-,-,309',309'
Ukraine,20230421072431,https://www.transfermarkt.ch/samba-diallo/profil/spieler/649030,30,Samba Diallo,Premier Liga,Dynamo Kiew,1.Liga,20,"1,68 m",Senegal,Linksaußen,rechts,ESI,,01.09.2022,31.12.2026,Senegal U23,,0,0,200 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,200 Tsd. €,20.12.2021,0,0,,0,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
Ukraine,20230421072447,https://www.transfermarkt.ch/benito/profil/spieler/491960,77,Benito,Premier Liga,Dynamo Kiew,1.Liga,24,"1,80 m",Nigeria,Linksaußen,links,Wonder Sports,Puma,03.01.2020,30.06.2023,,Nigeria U23,2,0,150 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,500 Tsd. €,14.01.2021,19,13,,3,,,,,5,"2,00",-,1,-,1,4,1,-,-,-,-,249'
Ukraine,20230421072502,https://www.transfermarkt.ch/kaheem-parris/profil/spieler/530414,9,Kaheem Parris,Premier Liga,Dynamo Kiew,1.Liga,23,"1,84 m",Jamaika,Rechtsaußen,links,International Dymension,,02.09.2022,30.06.2026,Jamaika,,7,0,800 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,800 Tsd. €,27.06.2022,0,7,,0,,,,,8,"2,38",-,-,-,8,-,-,-,-,-,-,126'
Ukraine,20230421072519,https://www.transfermarkt.ch/nazar-voloshyn/profil/spieler/726034,91,Nazar Voloshyn,Premier Liga,Dynamo Kiew,1.Liga,19,"1,75 m",Ukraine,Rechtsaußen,rechts,FAMK Group,,01.01.2023,30.06.2027,Ukraine U19,,6,0,500 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,500 Tsd. €,28.03.2023,67,63,,24,,,,,4,"1,50",-,-,-,3,1,-,-,-,-,-,107'
Ukraine,20230421072533,https://www.transfermarkt.ch/vladyslav-supryaga/profil/spieler/419061,17,Vladyslav Supryaga,Premier Liga,Dynamo Kiew,1.Liga,23,"1,85 m",Ukraine,Mittelstürmer,rechts,GG11,,10.08.2018,30.06.2026,Ukraine U21,,15,1,"1,80 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"7,50 Mio. €",14.01.2021,0,0,,0,http://www.instagram.com/vladyslavsupriaha/?hl=com,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
Ukraine,20230421072546,https://www.transfermarkt.ch/eric-ramirez/profil/spieler/428746,15,Eric Ramírez,Premier Liga,Dynamo Kiew,1.Liga,24,"1,88 m",Venezuela,Mittelstürmer,rechts,T&C,,23.07.2021,30.06.2026,,Venezuela,8,1,900 Tsd. €Letzte Änderung: 16.12.2022,Tsd. €,Letzte Änderung: 16.12.2022,"2,00 Mio. €",26.06.2021,0,14,,17,http://www.instagram.com/erick.ramirez24/,,,,5,"2,00",1,-,-,5,-,-,-,-,-,77',77'
Ukraine,20230421072604,https://www.transfermarkt.ch/vladyslav-vanat/profil/spieler/631821,11,Vladyslav Vanat,Premier Liga,Dynamo Kiew,1.Liga,21,"1,82 m",Ukraine,Mittelstürmer,links,ProStar,,01.07.2021,30.06.2025,Ukraine U21,,10,3,800 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,800 Tsd. €,06.12.2022,71,64,,33,http://www.instagram.com/vladyslav.vanat/,,,,19,"1,89",8,2,-,4,11,4,-,-,1,151',1.208'
Ukraine,20230421072617,https://www.transfermarkt.ch/max-walef/profil/spieler/592336,93,Max Walef,Premier Liga,SK Dnipro-1,1.Liga,29,"1,86 m",Brasilien,Torwart,rechts,BLB SPORTS,,07.08.2022,30.06.2024,,,,,"1,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"1,00 Mio. €",06.12.2022,70,70,0,,,,10,7,14,"2,50",-,,-,-,-,-,-,-,,,1.260'
Ukraine,20230421072641,https://www.transfermarkt.ch/vladyslav-rybak/profil/spieler/880039,1,Vladyslav Rybak,Premier Liga,SK Dnipro-1,1.Liga,21,"1,92 m",Ukraine,Torwart,rechts,,,29.07.2022,30.06.2023,,,,,200 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,200 Tsd. €,28.03.2023,25,25,0,,,,5,2,5,"1,80",-,,-,-,-,-,-,-,,,450'
Ukraine,20230421072704,https://www.transfermarkt.ch/yakiv-kinareykin/profil/spieler/952943,12,Yakiv Kinareykin,,SK Dnipro-1 U19,19,"1,90 m",Ukraine,Torwart,rechts,,,09.09.2020,30.06.2023,Ukraine U21,,1,0,100 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,100 Tsd. €,06.12.2022,,,,,,,,,,,,,,,,,,,,,
Ukraine,20230421072738,https://www.transfermarkt.ch/eduard-sarapiy/profil/spieler/678778,5,Eduard Sarapiy,Premier Liga,SK Dnipro-1,1.Liga,23,"1,86 m",Ukraine,Innenverteidiger,rechts,ALIK FOOTBALL MANAGEMENT,,29.07.2022,30.06.2023,Ukraine,,0,0,"1,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"1,00 Mio. €",06.12.2022,95,95,,7,http://www.instagram.com/edson_sarapii/,,,,19,"2,37",3,-,-,-,-,5,-,-,-,570',1.710'
Ukraine,20230421072751,https://www.transfermarkt.ch/oleksandr-svatok/profil/spieler/244271,39,Oleksandr Svatok,Premier Liga,SK Dnipro-1,1.Liga,28,"1,86 m",Ukraine,Innenverteidiger,rechts,FSB – Spielerberatung GmbH,,01.01.2020,31.12.2025,Ukraine,,1,0,"1,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"1,00 Mio. €",10.12.2018,85,84,,0,http://www.instagram.com/svatok39/,,,,17,"2,12",-,-,-,-,2,3,-,-,-,-,1.504'
Ukraine,20230421072802,https://www.transfermarkt.ch/gabriel-gomes/profil/spieler/969596,99,Gabriel Gomes,Premier Liga,SK Dnipro-1,1.Liga,23,"1,86 m",Brasilien,Innenverteidiger,links,Kool – Carrear Management – Intermediate,,22.09.2022,30.06.2023,,,,,250 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,250 Tsd. €,06.12.2022,18,19,,0,,,,,5,"2,00",-,-,-,2,-,1,-,-,-,-,298'
Ukraine,20230421072824,https://www.transfermarkt.ch/vitaliy-fedoriv/profil/spieler/58392,14,Vitaliy Fedoriv,Premier Liga,SK Dnipro-1,1.Liga,35,"1,81 m",Ukraine,Innenverteidiger,links,OFA,,01.03.2023,30.06.2023,,Ukraine,2,0,100 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,"3,00 Mio. €",24.11.2008,24,19,,0,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
Ukraine,20230421072842,https://www.transfermarkt.ch/yanis-hamache/profil/spieler/629567,13,Yanis Hamache,Premier Liga,SK Dnipro-1,1.Liga,23,"1,77 m",Algerien,Linker Verteidiger,links,Familienangehörige,,01.09.2022,30.06.2026,Algerien,,1,0,"2,00 Mio. €Letzte Änderung: 06.12.2022",Mio. €,Letzte Änderung: 06.12.2022,"2,00 Mio. €",10.03.2022,53,52,,15,http://www.instagram.com/yanis.hamache/,unbekannte VerletzungRückkehr unbekannt,,,11,"2,18",2,4,-,1,2,1,-,-,-,446',892'
Ukraine,20230421072851,https://www.transfermarkt.ch/ronald-matarrita/profil/spieler/268273,44,Ronald Matarrita,Premier Liga,SK Dnipro-1,1.Liga,28,"1,75 m",Costa Rica,Linker Verteidiger,links,DV7 Management,,23.01.2023,31.12.2024,Costa Rica,,54,3,"1,50 Mio. €Letzte Änderung: 08.11.2022",Mio. €,Letzte Änderung: 08.11.2022,"2,50 Mio. €",18.12.2020,0,19,,0,http://www.instagram.com/rmatarrita_22/,,,,3,"2,00",-,-,-,3,-,-,-,-,-,-,104'
Ukraine,20230421072903,https://www.transfermarkt.ch/oleksandr-kapliyenko/profil/spieler/248931,26,Oleksandr Kapliyenko,Premier Liga,SK Dnipro-1,1.Liga,27,"1,79 m",Ukraine,Linker Verteidiger,links,ALIK FOOTBALL MANAGEMENT,,01.03.2023,30.06.2023,,Ukraine U21,3,0,400 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,800 Tsd. €,15.07.2016,86,76,,7,http://www.instagram.com/aleksandr.kaplienko/,,,,5,"1,80",-,-,-,-,4,-,-,-,-,-,319'
Ukraine,20230421072919,https://www.transfermarkt.ch/valeriy-luchkevych/profil/spieler/248934,24,Valeriy Luchkevych,Premier Liga,SK Dnipro-1,1.Liga,27,"1,76 m",Ukraine,Rechter Verteidiger,rechts,ProStar,adidas,01.07.2021,30.06.2023,,Ukraine U21,23,0,500 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,"2,50 Mio. €",07.06.2015,,,,,http://www.instagram.com/valerii.luchkevych/,KreuzbandverletzungRückkehr unbekannt,,,,,,,,,,,,,,,
Ukraine,20230421072928,https://www.transfermarkt.ch/volodymyr-adamyuk/profil/spieler/273663,3,Volodymyr Adamyuk,Premier Liga,SK Dnipro-1,1.Liga,31,"1,86 m",Ukraine,Rechter Verteidiger,rechts,FAMK Group,,01.01.2020,30.06.2024,,,,,400 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,700 Tsd. €,12.01.2018,70,64,,7,http://www.instagram.com/adamiuk_v/,unbekannte VerletzungRückkehr unbekannt,,,14,"2,29",3,-,-,-,6,2,-,-,-,382',1.147'
Ukraine,20230421072942,https://www.transfermarkt.ch/emiliano-purita/profil/spieler/471638,4,Emiliano Purita,Premier Liga,SK Dnipro-1,1.Liga,26,"1,69 m",Argentinien,Rechter Verteidiger,rechts,Avios Soccer,,12.08.2022,30.06.2025,,,,,400 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,400 Tsd. €,17.02.2020,,,,,,unbekannte VerletzungRückkehr unbekannt,,,,,,,,,,,,,,,
Ukraine,20230421073001,https://www.transfermarkt.ch/hayner/profil/spieler/389942,27,Hayner,Premier Liga,SK Dnipro-1,1.Liga,27,"1,78 m",Brasilien,Rechter Verteidiger,rechts,Link,,17.01.2023,30.06.2023,,,,,400 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,400 Tsd. €,28.03.2023,33,55,,0,,,,,6,"1,67",-,-,-,4,1,-,-,-,-,-,297'
Ukraine,20230421073023,https://www.transfermarkt.ch/mykyta-kononov/profil/spieler/721512,2,Mykyta Kononov,Premier Liga,SK Dnipro-1,1.Liga,20,"1,79 m",Ukraine,Rechter Verteidiger,rechts,ALIK FOOTBALL MANAGEMENT,,01.07.2022,30.06.2023,,Ukraine U19,0,0,200 Tsd. €Letzte Änderung: 06.12.2022,Tsd. €,Letzte Änderung: 06.12.2022,200 Tsd. €,06.12.2022,0,1,,0,,,,,4,"2,25",-,-,-,4,-,1,-,-,-,-,18'
