league_country;scraping_time;link;no;name;league;club;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Schweiz;20230422162310;https://www.transfermarkt.ch/francis-momoh/profil/spieler/690246;22;Francis Momoh;Super League;Grasshoppers;1.Liga;900 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;900 Tsd. €;08.06.2022;22;1,87 m;Nigeria;Mittelstürmer;;Footycrest;;01.08.2019;30.06.2024;;;;;;18;19;;12;;1;;;11;1,36;1;4;-;6;4;2;-;-;-;489';489'
Schweiz;20230422162333;https://www.transfermarkt.ch/guilherme-schettine/profil/spieler/371245;95;Guilherme Schettine;Super League;Grasshoppers;1.Liga;900 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;1,50 Mio. €;17.08.2020;27;1,80 m;Brasilien;Mittelstürmer;rechts;Soccersport;;25.07.2022;30.06.2023;;;;;;44;41;;21;;1;;;17;1,24;6;2;-;5;10;6;-;-;-;167';1.000'
Schweiz;20230422162402;https://www.transfermarkt.ch/shkelqim-demhasaj/profil/spieler/294583;9;Shkelqim Demhasaj;Super League;Grasshoppers;1.Liga;200 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;1,00 Mio. €;12.07.2018;27;1,91 m;Kosovo;Mittelstürmer;rechts;ESHA;Nike;01.07.2020;30.06.2023;;;Kosovo;1;0;4;5;;0;;0;;;6;0,67;-;-;-;5;1;-;-;-;-;-;123'
Schweiz;20230422162427;https://www.transfermarkt.ch/amir-saipi/profil/spieler/448169;1;Amir Saipi;Super League;FC Lugano;1.Liga;1,00 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;1,20 Mio. €;08.06.2022;22;1,94 m;Schweiz;Torwart;rechts;IFM;Puma;10.09.2021;30.06.2026;Schweiz U21;;;10;0;75;75;0;;;0;31;5;21;1,33;-;;-;-;-;3;-;-;;;1.890'
Schweiz;20230422162444;https://www.transfermarkt.ch/sebastian-osigwe/profil/spieler/199453;58;Sebastian Osigwe;Super League;FC Lugano;1.Liga;400 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;400 Tsd. €;28.12.2020;29;1,85 m;Nigeria;Torwart;rechts;Familienangehörige;;20.08.2020;30.06.2026;;;Nigeria;0;0;25;25;0;;http://www.instagram.com/osigwe58/;0;8;1;7;1,29;-;;-;-;-;-;-;-;;;630'
Schweiz;20230422162459;https://www.transfermarkt.ch/serif-berbic/profil/spieler/135471;13;Serif Berbic;Super League;FC Lugano;1.Liga;100 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;100 Tsd. €;23.06.2021;21;1,94 m;Schweiz;Torwart;rechts;Sport Assist di Petar Strugar;;04.08.2022;30.06.2026;;;Schweiz U20;0;0;0;0;0;;;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Schweiz;20230422162519;https://www.transfermarkt.ch/lukas-mai/profil/spieler/345780;15;Lukas Mai;Super League;FC Lugano;1.Liga;2,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;2,50 Mio. €;12.07.2019;23;1,88 m;Deutschland;Innenverteidiger;rechts;CAA Stellar;;01.07.2022;30.06.2025;;;Deutschland U21;8;0;57;55;;3;http://www.instagram.com/lukas__mai/;1;;;19;1,47;-;1;-;3;2;1;-;-;-;-;1.385'
Schweiz;20230422162535;https://www.transfermarkt.ch/allan-arigoni/profil/spieler/413439;34;Allan Arigoni;Super League;FC Lugano;1.Liga;800 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;1,00 Mio. €;08.06.2022;24;1,84 m;Schweiz;Innenverteidiger;rechts;Branchini Associati S.p.A.;adidas;01.07.2022;30.06.2025;;;Schweiz U20;0;0;54;51;;5;;0;;;18;1,44;-;2;-;3;7;8;-;-;-;-;1.274'
Schweiz;20230422162549;https://www.transfermarkt.ch/albian-hajdari/profil/spieler/579459;5;Albian Hajdari;Super League;FC Lugano;1.Liga;400 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;400 Tsd. €;28.03.2023;19;1,89 m;Schweiz;Innenverteidiger;links;ESHA;;08.07.2022;30.06.2023;;Schweiz U21;;3;0;36;38;;0;;1;;;14;1,79;-;-;-;4;1;7;-;-;-;-;968'
Schweiz;20230422162604;https://www.transfermarkt.ch/kreshnik-hajrizi/profil/spieler/390168;4;Kreshnik Hajrizi;Super League;FC Lugano;1.Liga;300 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;300 Tsd. €;08.06.2022;23;1,85 m;Kosovo;Innenverteidiger;rechts;SBE Management AG;;01.07.2021;30.06.2024;Kosovo;;;1;0;32;36;;0;;0;;;12;1,42;-;-;-;3;3;5;-;-;-;-;905'
Schweiz;20230422162621;https://www.transfermarkt.ch/fabio-daprela/profil/spieler/66109;30;Fabio Daprelà;Super League;FC Lugano;1.Liga;200 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;1,50 Mio. €;25.06.2013;32;1,83 m;Schweiz;Innenverteidiger;links;ISMA;;31.08.2017;30.06.2023;;;Schweiz U21;18;0;75;67;;0;;0;;;21;1,43;-;-;1;-;3;4;-;1;-;-;1.693'
Schweiz;20230422162638;https://www.transfermarkt.ch/leonid-srdic/profil/spieler/620806;23;Leonid Srdic;Super League;FC Lugano;1.Liga;100 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;100 Tsd. €;04.10.2021;21;1,85 m;Bosnien-Herzegowina;Innenverteidiger;rechts;Sport Assist di Petar Strugar;;27.07.2021;30.06.2024;;;Bosnien U19;2;0;0;0;;0;;0;;;-;-;-;-;-;-;-;-;-;-;-;-;-
Schweiz;20230422162652;https://www.transfermarkt.ch/milton-valenzuela/profil/spieler/422401;23;Milton Valenzuela;Super League;FC Lugano;1.Liga;1,50 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;1,50 Mio. €;18.12.2020;24;1,70 m;Argentinien;Linker Verteidiger;links;PROSPORTS Argentina;;30.01.2022;30.06.2025;;;Argentinien U23;1;0;86;84;;10;http://www.instagram.com/miltonvalenzuela_/;1;;;24;1,25;1;3;-;-;4;7;1;-;-;2.110';2.110'
Schweiz;20230422162705;https://www.transfermarkt.ch/mickael-facchinetti/profil/spieler/79392;7;Mickaël Facchinetti;Super League;FC Lugano;1.Liga;100 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;1,25 Mio. €;29.09.2015;32;1,83 m;Schweiz;Linker Verteidiger;links;Atlas Entertainment & Advisory;;12.10.2020;30.06.2023;;;Schweiz U21;1;0;0;3;;0;;0;;;5;0,60;-;-;-;5;-;1;-;-;-;-;74'
Schweiz;20230422162722;https://www.transfermarkt.ch/jhon-espinoza/profil/spieler/514380;6;Jhon Espinoza;Super League;FC Lugano;1.Liga;600 Tsd. €Letzte Änderung: 08.11.2022;Tsd. €;Letzte Änderung: 08.11.2022;800 Tsd. €;30.12.2019;24;1,80 m;Ecuador;Rechter Verteidiger;rechts;BLSPORTS;;01.01.2023;30.06.2024;;;Ecuador;2;0;33;39;;0;http://www.instagram.com/jhonespinoza_14/;0;;;9;1,00;-;-;-;5;3;1;-;-;-;-;418'
Schweiz;20230422162742;https://www.transfermarkt.ch/ousmane-doumbia/profil/spieler/286292;20;Ousmane Doumbia;Super League;FC Lugano;1.Liga;1,00 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;1,20 Mio. €;28.03.2022;30;1,74 m;Elfenbeinküste;Defensives Mittelfeld;rechts;MSA;Puma;01.07.2022;30.06.2026;;;;;;100;95;;10;http://www.instagram.com/ousmane_doumbia;0;;;28;1,32;2;2;1;-;8;3;-;-;-;1.202';2.403'
