league_country,scraping_time,link,no,name,league,club,league_level,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Deutschland,20230421095630,https://www.transfermarkt.ch/stefano-russo/profil/spieler/343332,6,Stefano Russo,3. Liga,Waldh. Mannheim,3.Liga,22,"1,84 m",Deutschland,Defensives Mittelfeld,rechts,MK Sport Consulting,Nike,01.07.2021,30.06.2023,,Deutschland U19,1,0,225 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,225 Tsd. €,08.12.2022,28,32,,4,http://www.instagram.com/stefano_russo06/,,,,16,"1,81",1,1,-,7,3,5,-,-,-,928',928'
Deutschland,20230421095642,https://www.transfermarkt.ch/adrian-malachowski/profil/spieler/342042,4,Adrian Malachowski,3. Liga,Waldh. Mannheim,3.Liga,25,"1,83 m",Polen,Defensives Mittelfeld,rechts,MVP United,,01.07.2022,30.06.2024,,Polen U18,3,0,150 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,200 Tsd. €,14.06.2021,16,23,,8,,,,,22,"1,68",2,2,-,17,3,1,-,-,-,324',648'
Deutschland,20230421095659,https://www.transfermarkt.ch/bentley-baxter-bahn/profil/spieler/94964,9,Bentley Baxter Bahn,3. Liga,Waldh. Mannheim,3.Liga,30,"1,80 m",Deutschland,Zentrales Mittelfeld,rechts,SMG GmbH,,01.07.2022,30.06.2024,,,,,300 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,350 Tsd. €,03.04.2020,94,90,,15,,,,,30,"1,70",6,2,-,-,9,6,-,-,1,433',2.600'
Deutschland,20230421095724,https://www.transfermarkt.ch/fridolin-wagner/profil/spieler/238175,8,Fridolin Wagner,3. Liga,Waldh. Mannheim,3.Liga,25,"1,82 m",Deutschland,Zentrales Mittelfeld,rechts,Karl M. Herzog Sportmanagement,,01.07.2021,-,,Deutschland U19,3,0,275 Tsd. €Letzte Änderung: 30.03.2023,Tsd. €,Letzte Änderung: 30.03.2023,275 Tsd. €,08.06.2018,75,69,,15,,,,,28,"1,75",5,3,-,4,11,4,-,-,-,400',2.001'
Deutschland,20230421095740,https://www.transfermarkt.ch/dominik-kother/profil/spieler/450253,7,Dominik Kother,3. Liga,Waldh. Mannheim,3.Liga,23,"1,80 m",Deutschland,Linksaußen,rechts,Familienangehörige,,31.01.2022,30.06.2023,,Deutschland U21,3,1,400 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,"1,00 Mio. €",18.11.2020,19,28,,6,http://www.instagram.com/dominikkother/,,,,24,"1,54",3,-,-,18,6,1,-,-,-,266',797'
Deutschland,20230421095754,https://www.transfermarkt.ch/berkan-taz/profil/spieler/451380,33,Berkan Taz,3. Liga,Waldh. Mannheim,3.Liga,24,"1,75 m",Deutschland,Linksaußen,beidfüßig,VD,adidas,01.07.2022,30.06.2024,,,,,300 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,400 Tsd. €,16.03.2022,44,44,,8,http://www.instagram.com/beko.taz/?hl=de,,,,26,"1,62",-,4,-,12,13,3,-,-,-,-,1.269'
Deutschland,20230421095812,https://www.transfermarkt.ch/adrien-lebeau/profil/spieler/395674,20,Adrien Lebeau,3. Liga,Waldh. Mannheim,3.Liga,23,"1,75 m",Frankreich,Linksaußen,,W.Egal O.S.F.M.,,05.08.2021,30.06.2023,,,,,250 Tsd. €Letzte Änderung: 30.03.2023,Tsd. €,Letzte Änderung: 30.03.2023,250 Tsd. €,30.12.2021,38,28,,12,http://www.instagram.com/adrien__lebeau/,,,,14,"2,43",3,3,-,2,12,1,-,-,-,268',803'
Deutschland,20230421095833,https://www.transfermarkt.ch/marc-schnatterer/profil/spieler/18684,13,Marc Schnatterer,3. Liga,Waldh. Mannheim,3.Liga,37,"1,80 m",Deutschland,Linksaußen,rechts,Dirk Lips,,01.07.2021,30.06.2023,,,,,150 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,"1,00 Mio. €",13.01.2015,13,15,,4,,,,,15,"0,87",1,1,-,11,4,-,-,-,-,423',423'
Deutschland,20230421095857,https://www.transfermarkt.ch/marten-winkler/profil/spieler/574569,22,Marten Winkler,3. Liga,Waldh. Mannheim,3.Liga,20,"1,84 m",Deutschland,Rechtsaußen,links,ROOF,,21.07.2022,30.06.2023,,Deutschland U18,1,0,350 Tsd. €Letzte Änderung: 30.03.2023,Tsd. €,Letzte Änderung: 30.03.2023,350 Tsd. €,30.03.2023,56,50,,19,,,,,25,"1,80",6,4,-,7,18,4,-,-,-,242',1.449'
Deutschland,20230421095913,https://www.transfermarkt.ch/thomas-pledl/profil/spieler/131561,31,Thomas Pledl,3. Liga,Waldh. Mannheim,3.Liga,28,"1,74 m",Deutschland,Rechtsaußen,rechts,Players Factory,,15.01.2023,-,,Deutschland U20,9,1,325 Tsd. €Letzte Änderung: 07.10.2022,Tsd. €,Letzte Änderung: 07.10.2022,"1,00 Mio. €",22.01.2018,50,48,,15,,,,,13,"1,92",1,3,-,6,6,1,-,-,-,609',609'
